season,round,url,raceName,circuitID,CircuitName,Locality,country,eventDate
1950,1,http://en.wikipedia.org/wiki/1950_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1950-05-13
1950,2,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix,Monaco Grand Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1950-05-21
1950,3,http://en.wikipedia.org/wiki/1950_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1950-05-30
1950,4,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Bern,Switzerland,1950-06-04
1950,5,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1950-06-18
1950,6,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1950-07-02
1950,7,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1950-09-03
1951,1,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Bern,Switzerland,1951-05-27
1951,2,http://en.wikipedia.org/wiki/1951_Indianapolis_500,Indianapolis 500,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,1951-05-30
1951,3,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,Belgian Grand Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1951-06-17
1951,4,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,French Grand Prix,reims,Reims-Gueux,Reims,France,1951-07-01
1951,5,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,British Grand Prix,silverstone,Silverstone Circuit,Silverstone,UK,1951-07-14
1951,6,http://en.wikipedia.org/wiki/1951_German_Grand_Prix,German Grand Prix,nurburgring,Nürburgring,Nürburg,Germany,1951-07-29
1951,7,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,Italian Grand Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1951-09-16
1951,8,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,Spanish Grand Prix,pedralbes,Circuit de Pedralbes,Barcelona,Spain,1951-10-28
1952,1,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,Swiss Grand Prix,bremgarten,Circuit Bremgarten,Bern,Switzerland,1952-05-18
